UID,Barcode,SPC,Department Code,Department,Sub-department Code,Sub Department,Brand Code,Brand,Style Code,Colour Code,Colour Name,Size Scale,Size,Description,BTC Price,VAT Code,Pack Quantity,Carton Quantity,Last Changed Date,Stock Status,colour_code_url,image_url_medium_res,image_url_low_res,image_url_high_res,brand image,colour image 01,colour image 02,colour image 03,colour image 04,colour image 05,colour image 06,colour image 07,colour image 08,colour image 09,colour image 10,bullet points,Commodity Code,Origin
183667,0000001835885,61432,TSHIRT,T-SHIRTS,MSSTSH,MENS SHORT SLEEVE T-SHIRT,FOTL,Fruit Of The Loom,ME0029,32,Navy Blue,0008  ,Small,Ladies' Iconic 150 T,2.09,1,12,72,31/03/2026 23:45:05,C,https://myebrochure.co.uk/images/colours/fotl/fotl-32.jpg,https://myebrochure.co.uk/images/products/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/products.small/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/products.hires/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_11201_61432_149212.jpg,https://myebrochure.co.uk/images/products.hires/prod_11201_61432_149210.jpg,https://myebrochure.co.uk/images/products.hires/prod_11201_61432_149213.jpg,,,,,,,,"<li>100&#37; combed ringspun cotton</li> <li>Soft hand feel</li> <li>Shaped side seams for a feminine fit</li> <li>Narrow crew neck with 1x1 rib</li> <li>Self-fabric back neck tape</li> <li>New tear away back neck label</li> <li><b>Also available in men&#39;s sizes code 61430, kids sizes code 61023 and girl&#39;s sizes code 61025</b></li>",61091000,MA
183679,0000001836004,61432,TSHIRT,T-SHIRTS,MSSTSH,MENS SHORT SLEEVE T-SHIRT,FOTL,Fruit Of The Loom,ME0029,NE,Neomint,0008  ,Small,Ladies' Iconic 150 T,2.09,1,12,72,31/03/2026 23:45:05,C,https://myebrochure.co.uk/images/colours/fotl/fotl-ne.jpg,https://myebrochure.co.uk/images/products/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/products.small/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/products.hires/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_11201_61432_149217.jpg,https://myebrochure.co.uk/images/products.hires/prod_11201_61432_149215.jpg,https://myebrochure.co.uk/images/products.hires/prod_11201_61432_149219.jpg,,,,,,,,"<li>100&#37; combed ringspun cotton</li> <li>Soft hand feel</li> <li>Shaped side seams for a feminine fit</li> <li>Narrow crew neck with 1x1 rib</li> <li>Self-fabric back neck tape</li> <li>New tear away back neck label</li> <li><b>Also available in men&#39;s sizes code 61430, kids sizes code 61023 and girl&#39;s sizes code 61025</b></li>",61091000,MA
200601,0000002005867,61432,TSHIRT,T-SHIRTS,MSSTSH,MENS SHORT SLEEVE T-SHIRT,FOTL,Fruit Of The Loom,ME0029,PR,Powder Rose,0008  ,Small,Ladies' Iconic 150 T,2.09,1,12,72,31/03/2026 23:45:05,C,https://myebrochure.co.uk/images/colours/fotl/fotl-pr.jpg,https://myebrochure.co.uk/images/products/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/products.small/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/products.hires/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_11201_61432_157244.jpg,https://myebrochure.co.uk/images/products.hires/prod_11201_61432_157243.jpg,https://myebrochure.co.uk/images/products.hires/prod_11201_61432_157245.jpg,,,,,,,,"<li>100&#37; combed ringspun cotton</li> <li>Soft hand feel</li> <li>Shaped side seams for a feminine fit</li> <li>Narrow crew neck with 1x1 rib</li> <li>Self-fabric back neck tape</li> <li>New tear away back neck label</li> <li><b>Also available in men&#39;s sizes code 61430, kids sizes code 61023 and girl&#39;s sizes code 61025</b></li>",61091000,MA
172076,0000001719840,61432,TSHIRT,T-SHIRTS,MSSTSH,MENS SHORT SLEEVE T-SHIRT,FOTL,Fruit Of The Loom,ME0029,40,Red,0008  ,Small,Ladies' Iconic 150 T,2.09,1,12,72,31/03/2026 23:45:05,C,https://myebrochure.co.uk/images/colours/fotl/fotl-40.jpg,https://myebrochure.co.uk/images/products/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/products.small/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/products.hires/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61432_131644.jpg,https://myebrochure.co.uk/images/products.hires/prod_61432_131642.jpg,https://myebrochure.co.uk/images/products.hires/prod_61432_131643.jpg,,,,,,,,"<li>100&#37; combed ringspun cotton</li> <li>Soft hand feel</li> <li>Shaped side seams for a feminine fit</li> <li>Narrow crew neck with 1x1 rib</li> <li>Self-fabric back neck tape</li> <li>New tear away back neck label</li> <li><b>Also available in men&#39;s sizes code 61430, kids sizes code 61023 and girl&#39;s sizes code 61025</b></li>",61091000,MA
176018,0000001759266,61432,TSHIRT,T-SHIRTS,MSSTSH,MENS SHORT SLEEVE T-SHIRT,FOTL,Fruit Of The Loom,ME0029,RX,Retro Heather Green,0008  ,Small,Ladies' Iconic 150 T,2.09,1,12,72,31/03/2026 23:45:05,C,https://myebrochure.co.uk/images/colours/fotl/fotl-rx.jpg,https://myebrochure.co.uk/images/products/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/products.small/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/products.hires/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61432_131689.jpg,https://myebrochure.co.uk/images/products.hires/prod_61432_131687.jpg,https://myebrochure.co.uk/images/products.hires/prod_61432_131688.jpg,,,,,,,,"<li>100&#37; combed ringspun cotton</li> <li>Soft hand feel</li> <li>Shaped side seams for a feminine fit</li> <li>Narrow crew neck with 1x1 rib</li> <li>Self-fabric back neck tape</li> <li>New tear away back neck label</li> <li><b>Also available in men&#39;s sizes code 61430, kids sizes code 61023 and girl&#39;s sizes code 61025</b></li>",61091000,MA
176012,0000001759204,61432,TSHIRT,T-SHIRTS,MSSTSH,MENS SHORT SLEEVE T-SHIRT,FOTL,Fruit Of The Loom,ME0029,R6,Retro Heather Royal,0008  ,Small,Ladies' Iconic 150 T,2.09,1,12,72,31/03/2026 23:45:05,C,https://myebrochure.co.uk/images/colours/fotl/fotl-r6.jpg,https://myebrochure.co.uk/images/products/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/products.small/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/products.hires/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61432_131686.jpg,https://myebrochure.co.uk/images/products.hires/prod_61432_131684.jpg,https://myebrochure.co.uk/images/products.hires/prod_61432_131685.jpg,,,,,,,,"<li>100&#37; combed ringspun cotton</li> <li>Soft hand feel</li> <li>Shaped side seams for a feminine fit</li> <li>Narrow crew neck with 1x1 rib</li> <li>Self-fabric back neck tape</li> <li>New tear away back neck label</li> <li><b>Also available in men&#39;s sizes code 61430, kids sizes code 61023 and girl&#39;s sizes code 61025</b></li>",61091000,MA
172088,0000001719963,61432,TSHIRT,T-SHIRTS,MSSTSH,MENS SHORT SLEEVE T-SHIRT,FOTL,Fruit Of The Loom,ME0029,51,Royal,0008  ,Small,Ladies' Iconic 150 T,2.09,1,12,72,31/03/2026 23:45:05,C,https://myebrochure.co.uk/images/colours/fotl/fotl-51.jpg,https://myebrochure.co.uk/images/products/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/products.small/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/products.hires/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61432_131650.jpg,https://myebrochure.co.uk/images/products.hires/prod_61432_131648.jpg,https://myebrochure.co.uk/images/products.hires/prod_61432_131649.jpg,,,,,,,,"<li>100&#37; combed ringspun cotton</li> <li>Soft hand feel</li> <li>Shaped side seams for a feminine fit</li> <li>Narrow crew neck with 1x1 rib</li> <li>Self-fabric back neck tape</li> <li>New tear away back neck label</li> <li><b>Also available in men&#39;s sizes code 61430, kids sizes code 61023 and girl&#39;s sizes code 61025</b></li>",61091000,MA
200861,0000002008462,61432,TSHIRT,T-SHIRTS,MSSTSH,MENS SHORT SLEEVE T-SHIRT,FOTL,Fruit Of The Loom,ME0029,SLR,Soft Lavender,0008  ,Small,Ladies' Iconic 150 T,2.09,1,12,72,31/03/2026 23:45:05,C,https://myebrochure.co.uk/images/colours/fotl/fotl-slr.jpg,https://myebrochure.co.uk/images/products/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/products.small/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/products.hires/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_11201_61432_157247.jpg,https://myebrochure.co.uk/images/products.hires/prod_11201_61432_157246.jpg,https://myebrochure.co.uk/images/products.hires/prod_11201_61432_157248.jpg,,,,,,,,"<li>100&#37; combed ringspun cotton</li> <li>Soft hand feel</li> <li>Shaped side seams for a feminine fit</li> <li>Narrow crew neck with 1x1 rib</li> <li>Self-fabric back neck tape</li> <li>New tear away back neck label</li> <li><b>Also available in men&#39;s sizes code 61430, kids sizes code 61023 and girl&#39;s sizes code 61025</b></li>",61091000,MA
172064,0000001719727,61432,TSHIRT,T-SHIRTS,MSSTSH,MENS SHORT SLEEVE T-SHIRT,FOTL,Fruit Of The Loom,ME0029,34,Sunflower,0008  ,Small,Ladies' Iconic 150 T,2.09,1,12,72,31/03/2026 23:45:05,C,https://myebrochure.co.uk/images/colours/fotl/fotl-34.jpg,https://myebrochure.co.uk/images/products/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/products.small/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/products.hires/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61432_131638.jpg,https://myebrochure.co.uk/images/products.hires/prod_61432_131636.jpg,https://myebrochure.co.uk/images/products.hires/prod_61432_131637.jpg,,,,,,,,"<li>100&#37; combed ringspun cotton</li> <li>Soft hand feel</li> <li>Shaped side seams for a feminine fit</li> <li>Narrow crew neck with 1x1 rib</li> <li>Self-fabric back neck tape</li> <li>New tear away back neck label</li> <li><b>Also available in men&#39;s sizes code 61430, kids sizes code 61023 and girl&#39;s sizes code 61025</b></li>",61091000,MA
176024,0000001759327,61432,TSHIRT,T-SHIRTS,MSSTSH,MENS SHORT SLEEVE T-SHIRT,FOTL,Fruit Of The Loom,ME0029,VH,Vintage Heather Red,0008  ,Small,Ladies' Iconic 150 T,2.09,1,12,72,31/03/2026 23:45:05,C,https://myebrochure.co.uk/images/colours/fotl/fotl-vh.jpg,https://myebrochure.co.uk/images/products/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/products.small/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/products.hires/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61432_131698.jpg,https://myebrochure.co.uk/images/products.hires/prod_61432_131696.jpg,https://myebrochure.co.uk/images/products.hires/prod_61432_131697.jpg,,,,,,,,"<li>100&#37; combed ringspun cotton</li> <li>Soft hand feel</li> <li>Shaped side seams for a feminine fit</li> <li>Narrow crew neck with 1x1 rib</li> <li>Self-fabric back neck tape</li> <li>New tear away back neck label</li> <li><b>Also available in men&#39;s sizes code 61430, kids sizes code 61023 and girl&#39;s sizes code 61025</b></li>",61091000,MA
172058,0000001719666,61432,TSHIRT,T-SHIRTS,MSSTSH,MENS SHORT SLEEVE T-SHIRT,FOTL,Fruit Of The Loom,ME0029,30,White,0008  ,Small,Ladies' Iconic 150 T,1.65,1,12,72,31/03/2026 23:45:05,C,https://myebrochure.co.uk/images/colours/fotl/fotl-30.jpg,https://myebrochure.co.uk/images/products/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/products.small/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/products.hires/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_11201_61432_166621.jpg,https://myebrochure.co.uk/images/products.hires/prod_61432_131635.jpg,https://myebrochure.co.uk/images/products.hires/prod_61432_131633.jpg,https://myebrochure.co.uk/images/products.hires/prod_61432_131634.jpg,,,,,,,"<li>100&#37; combed ringspun cotton</li> <li>Soft hand feel</li> <li>Shaped side seams for a feminine fit</li> <li>Narrow crew neck with 1x1 rib</li> <li>Self-fabric back neck tape</li> <li>New tear away back neck label</li> <li><b>Also available in men&#39;s sizes code 61430, kids sizes code 61023 and girl&#39;s sizes code 61025</b></li>",61091000,MA
172148,0000001720563,61432,TSHIRT,T-SHIRTS,MSSTSH,MENS SHORT SLEEVE T-SHIRT,FOTL,Fruit Of The Loom,ME0029,XW,Zinc,0008  ,Small,Ladies' Iconic 150 T,2.09,1,12,72,31/03/2026 23:45:05,C,https://myebrochure.co.uk/images/colours/fotl/fotl-xw.jpg,https://myebrochure.co.uk/images/products/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/products.small/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/products.hires/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61432_131701.jpg,https://myebrochure.co.uk/images/products.hires/prod_61432_131699.jpg,https://myebrochure.co.uk/images/products.hires/prod_61432_131700.jpg,,,,,,,,"<li>100&#37; combed ringspun cotton</li> <li>Soft hand feel</li> <li>Shaped side seams for a feminine fit</li> <li>Narrow crew neck with 1x1 rib</li> <li>Self-fabric back neck tape</li> <li>New tear away back neck label</li> <li><b>Also available in men&#39;s sizes code 61430, kids sizes code 61023 and girl&#39;s sizes code 61025</b></li>",61091000,MA
197035,0000001970173,61432,TSHIRT,T-SHIRTS,MSSTSH,MENS SHORT SLEEVE T-SHIRT,FOTL,Fruit Of The Loom,ME0029,9K,Athletic Heather,0008  ,XL,Ladies' Iconic 150 T,2.09,1,12,72,31/03/2026 23:45:05,C,https://myebrochure.co.uk/images/colours/fotl/fotl-9k.jpg,https://myebrochure.co.uk/images/products/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/products.small/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/products.hires/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_11201_61432_153584.jpg,https://myebrochure.co.uk/images/products.hires/prod_11201_61432_153583.jpg,https://myebrochure.co.uk/images/products.hires/prod_11201_61432_153585.jpg,,,,,,,,"<li>100&#37; combed ringspun cotton</li> <li>Soft hand feel</li> <li>Shaped side seams for a feminine fit</li> <li>Narrow crew neck with 1x1 rib</li> <li>Self-fabric back neck tape</li> <li>New tear away back neck label</li> <li><b>Also available in men&#39;s sizes code 61430, kids sizes code 61023 and girl&#39;s sizes code 61025</b></li>",61091000,MA
200598,0000002005836,61432,TSHIRT,T-SHIRTS,MSSTSH,MENS SHORT SLEEVE T-SHIRT,FOTL,Fruit Of The Loom,ME0029,ZU,Azure Blue,0008  ,XL,Ladies' Iconic 150 T,2.09,1,12,72,31/03/2026 23:45:05,C,https://myebrochure.co.uk/images/colours/fotl/fotl-zu.jpg,https://myebrochure.co.uk/images/products/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/products.small/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/products.hires/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_11201_61432_157250.jpg,https://myebrochure.co.uk/images/products.hires/prod_11201_61432_157249.jpg,https://myebrochure.co.uk/images/products.hires/prod_11201_61432_157251.jpg,,,,,,,,"<li>100&#37; combed ringspun cotton</li> <li>Soft hand feel</li> <li>Shaped side seams for a feminine fit</li> <li>Narrow crew neck with 1x1 rib</li> <li>Self-fabric back neck tape</li> <li>New tear away back neck label</li> <li><b>Also available in men&#39;s sizes code 61430, kids sizes code 61023 and girl&#39;s sizes code 61025</b></li>",61091000,MA
172073,0000001719819,61432,TSHIRT,T-SHIRTS,MSSTSH,MENS SHORT SLEEVE T-SHIRT,FOTL,Fruit Of The Loom,ME0029,36,Black,0008  ,XL,Ladies' Iconic 150 T,2.09,1,12,72,31/03/2026 23:45:05,C,https://myebrochure.co.uk/images/colours/fotl/fotl-36.jpg,https://myebrochure.co.uk/images/products/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/products.small/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/products.hires/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_11201_61432_166624.jpg,https://myebrochure.co.uk/images/products.hires/prod_61432_131641.jpg,https://myebrochure.co.uk/images/products.hires/prod_61432_131639.jpg,https://myebrochure.co.uk/images/products.hires/prod_61432_131640.jpg,,,,,,,"<li>100&#37; combed ringspun cotton</li> <li>Soft hand feel</li> <li>Shaped side seams for a feminine fit</li> <li>Narrow crew neck with 1x1 rib</li> <li>Self-fabric back neck tape</li> <li>New tear away back neck label</li> <li><b>Also available in men&#39;s sizes code 61430, kids sizes code 61023 and girl&#39;s sizes code 61025</b></li>",61091000,MA
183676,0000001835977,61432,TSHIRT,T-SHIRTS,MSSTSH,MENS SHORT SLEEVE T-SHIRT,FOTL,Fruit Of The Loom,ME0029,41,Burgundy,0008  ,XL,Ladies' Iconic 150 T,2.09,1,12,72,31/03/2026 23:45:05,C,https://myebrochure.co.uk/images/colours/fotl/fotl-41.jpg,https://myebrochure.co.uk/images/products/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/products.small/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/products.hires/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_11201_61432_166625.jpg,https://myebrochure.co.uk/images/products.hires/prod_11201_61432_154269.jpg,https://myebrochure.co.uk/images/products.hires/prod_11201_61432_154270.jpg,https://myebrochure.co.uk/images/products.hires/prod_11201_61432_154271.jpg,,,,,,,"<li>100&#37; combed ringspun cotton</li> <li>Soft hand feel</li> <li>Shaped side seams for a feminine fit</li> <li>Narrow crew neck with 1x1 rib</li> <li>Self-fabric back neck tape</li> <li>New tear away back neck label</li> <li><b>Also available in men&#39;s sizes code 61430, kids sizes code 61023 and girl&#39;s sizes code 61025</b></li>",61091000,MA
172103,0000001720112,61432,TSHIRT,T-SHIRTS,MSSTSH,MENS SHORT SLEEVE T-SHIRT,FOTL,Fruit Of The Loom,ME0029,59,Classic Olive,0008  ,XL,Ladies' Iconic 150 T,2.09,1,12,72,31/03/2026 23:45:05,C,https://myebrochure.co.uk/images/colours/fotl/fotl-59.jpg,https://myebrochure.co.uk/images/products/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/products.small/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/products.hires/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61432_131656.jpg,https://myebrochure.co.uk/images/products.hires/prod_61432_131654.jpg,https://myebrochure.co.uk/images/products.hires/prod_61432_131655.jpg,,,,,,,,"<li>100&#37; combed ringspun cotton</li> <li>Soft hand feel</li> <li>Shaped side seams for a feminine fit</li> <li>Narrow crew neck with 1x1 rib</li> <li>Self-fabric back neck tape</li> <li>New tear away back neck label</li> <li><b>Also available in men&#39;s sizes code 61430, kids sizes code 61023 and girl&#39;s sizes code 61025</b></li>",61091000,MA
172133,0000001720419,61432,TSHIRT,T-SHIRTS,MSSTSH,MENS SHORT SLEEVE T-SHIRT,FOTL,Fruit Of The Loom,ME0029,AZ,Deep Navy,0008  ,XL,Ladies' Iconic 150 T,2.09,1,12,72,31/03/2026 23:45:05,C,https://myebrochure.co.uk/images/colours/fotl/fotl-az.jpg,https://myebrochure.co.uk/images/products/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/products.small/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/products.hires/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61432_131665.jpg,https://myebrochure.co.uk/images/products.hires/prod_61432_131663.jpg,https://myebrochure.co.uk/images/products.hires/prod_61432_131664.jpg,,,,,,,,"<li>100&#37; combed ringspun cotton</li> <li>Soft hand feel</li> <li>Shaped side seams for a feminine fit</li> <li>Narrow crew neck with 1x1 rib</li> <li>Self-fabric back neck tape</li> <li>New tear away back neck label</li> <li><b>Also available in men&#39;s sizes code 61430, kids sizes code 61023 and girl&#39;s sizes code 61025</b></li>",61091000,MA
172145,0000001720532,61432,TSHIRT,T-SHIRTS,MSSTSH,MENS SHORT SLEEVE T-SHIRT,FOTL,Fruit Of The Loom,ME0029,TM,Forest Green,0008  ,XL,Ladies' Iconic 150 T,2.09,1,12,72,31/03/2026 23:45:05,C,https://myebrochure.co.uk/images/colours/fotl/fotl-tm.jpg,https://myebrochure.co.uk/images/products/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/products.small/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/products.hires/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61432_131692.jpg,https://myebrochure.co.uk/images/products.hires/prod_61432_131690.jpg,https://myebrochure.co.uk/images/products.hires/prod_61432_131691.jpg,,,,,,,,"<li>100&#37; combed ringspun cotton</li> <li>Soft hand feel</li> <li>Shaped side seams for a feminine fit</li> <li>Narrow crew neck with 1x1 rib</li> <li>Self-fabric back neck tape</li> <li>New tear away back neck label</li> <li><b>Also available in men&#39;s sizes code 61430, kids sizes code 61023 and girl&#39;s sizes code 61025</b></li>",61091000,MA
172097,0000001720051,61432,TSHIRT,T-SHIRTS,MSSTSH,MENS SHORT SLEEVE T-SHIRT,FOTL,Fruit Of The Loom,ME0029,57,Fuchsia,0008  ,XL,Ladies' Iconic 150 T,2.09,1,12,72,31/03/2026 23:45:05,C,https://myebrochure.co.uk/images/colours/fotl/fotl-57.jpg,https://myebrochure.co.uk/images/products/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/products.small/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/products.hires/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61432_131653.jpg,https://myebrochure.co.uk/images/products.hires/prod_61432_131651.jpg,https://myebrochure.co.uk/images/products.hires/prod_61432_131652.jpg,,,,,,,,"<li>100&#37; combed ringspun cotton</li> <li>Soft hand feel</li> <li>Shaped side seams for a feminine fit</li> <li>Narrow crew neck with 1x1 rib</li> <li>Self-fabric back neck tape</li> <li>New tear away back neck label</li> <li><b>Also available in men&#39;s sizes code 61430, kids sizes code 61023 and girl&#39;s sizes code 61025</b></li>",61091000,MA
172169,0000001720778,61432,TSHIRT,T-SHIRTS,MSSTSH,MENS SHORT SLEEVE T-SHIRT,FOTL,Fruit Of The Loom,ME0029,H1,Heather Burgundy,0008  ,XL,Ladies' Iconic 150 T,2.09,1,12,72,31/03/2026 23:45:05,C,https://myebrochure.co.uk/images/colours/fotl/fotl-h1.jpg,https://myebrochure.co.uk/images/products/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/products.small/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/products.hires/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61432_131677.jpg,https://myebrochure.co.uk/images/products.hires/prod_61432_131675.jpg,https://myebrochure.co.uk/images/products.hires/prod_61432_131676.jpg,,,,,,,,"<li>100&#37; combed ringspun cotton</li> <li>Soft hand feel</li> <li>Shaped side seams for a feminine fit</li> <li>Narrow crew neck with 1x1 rib</li> <li>Self-fabric back neck tape</li> <li>New tear away back neck label</li> <li><b>Also available in men&#39;s sizes code 61430, kids sizes code 61023 and girl&#39;s sizes code 61025</b></li>",61091000,MA
172127,0000001720358,61432,TSHIRT,T-SHIRTS,MSSTSH,MENS SHORT SLEEVE T-SHIRT,FOTL,Fruit Of The Loom,ME0029,94,Heather Grey,0008  ,XL,Ladies' Iconic 150 T,2.09,1,12,72,31/03/2026 23:45:05,C,https://myebrochure.co.uk/images/colours/fotl/fotl-94.jpg,https://myebrochure.co.uk/images/products/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/products.small/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/products.hires/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61432_131662.jpg,https://myebrochure.co.uk/images/products.hires/prod_61432_131660.jpg,https://myebrochure.co.uk/images/products.hires/prod_61432_131661.jpg,,,,,,,,"<li>100&#37; combed ringspun cotton</li> <li>Soft hand feel</li> <li>Shaped side seams for a feminine fit</li> <li>Narrow crew neck with 1x1 rib</li> <li>Self-fabric back neck tape</li> <li>New tear away back neck label</li> <li><b>Also available in men&#39;s sizes code 61430, kids sizes code 61023 and girl&#39;s sizes code 61025</b></li>",61091000,MA
172163,0000001720716,61432,TSHIRT,T-SHIRTS,MSSTSH,MENS SHORT SLEEVE T-SHIRT,FOTL,Fruit Of The Loom,ME0029,HP,Heather Purple,0008  ,XL,Ladies' Iconic 150 T,2.09,1,12,72,31/03/2026 23:45:05,C,https://myebrochure.co.uk/images/colours/fotl/fotl-hp.jpg,https://myebrochure.co.uk/images/products/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/products.small/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/products.hires/prod_11201_61432_166623.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61432_131683.jpg,https://myebrochure.co.uk/images/products.hires/prod_61432_131681.jpg,https://myebrochure.co.uk/images/products.hires/prod_61432_131682.jpg,,,,,,,,"<li>100&#37; combed ringspun cotton</li> <li>Soft hand feel</li> <li>Shaped side seams for a feminine fit</li> <li>Narrow crew neck with 1x1 rib</li> <li>Self-fabric back neck tape</li> <li>New tear away back neck label</li> <li><b>Also available in men&#39;s sizes code 61430, kids sizes code 61023 and girl&#39;s sizes code 61025</b></li>",61091000,MA
